mbid,nom,parentMbid,parentNom
cd8c060f-15a5-4442-a7e7-f2bb10a7d28d,ballad opera,56e0b906-1018-4a55-8ec7-86746272116e,opera
0d82a4bc-f775-48ae-a5cc-73ff2aa5510f,zarzuela,56e0b906-1018-4a55-8ec7-86746272116e,opera
6c3503e3-bae3-42de-9e4c-7861f2053fbe,dancehall,02b2f720-d06e-42ce-85c2-1ecd4191ffcb,reggae
89e34d8e-6562-412f-8da3-d040e159e6cd,ska punk,bd7e1d40-43b1-4ba5-97b3-05b891466962,punk rock
c2ca3275-7e83-40cc-8f13-7ccae588144d,street punk,055a6e4d-d929-42ac-ba7a-9d063b254ea5,hardcore punk
bbb1310c-24cb-4fc9-97c4-f93e4549f1e2,post-grunge,ceeaa283-5d7b-4202-8d1d-e25d116b2a18,alternative rock
26af3760-750a-4b5e-a699-78c87697585a,arena rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
ac30756b-55a7-4dc3-8908-8f94c93318d0,bebop,a715278f-1580-409f-8078-4ffbc800e08b,jazz
2377ff19-83e7-4873-b425-dce6d1ad4ef4,jazz fusion,a715278f-1580-409f-8078-4ffbc800e08b,jazz
b5313d5a-f910-4fa8-a31c-0152897ed840,stride piano,a715278f-1580-409f-8078-4ffbc800e08b,jazz
f1ef4f3c-2f88-4a56-8879-f6153dbaca8b,opéra comique,56e0b906-1018-4a55-8ec7-86746272116e,opera
998ba72a-443a-47c7-9490-3996387906ff,grand opera,56e0b906-1018-4a55-8ec7-86746272116e,opera
924943cd-73c8-45c0-96eb-74f2a15e5d6e,alternative hip-hop,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
7f89796a-4b15-4d31-9d9b-639ec0be399a,riot grrrl,bd7e1d40-43b1-4ba5-97b3-05b891466962,punk rock
ba98f8a6-1b7a-4cc4-bfb2-25be78b18511,skate punk,bd7e1d40-43b1-4ba5-97b3-05b891466962,punk rock
36471baf-3fd6-459d-918c-40dc64adea36,horror punk,bd7e1d40-43b1-4ba5-97b3-05b891466962,punk rock
e12fe025-4c13-485e-a2fe-ad5bf2cd75eb,anarcho-punk,bd7e1d40-43b1-4ba5-97b3-05b891466962,punk rock
60e21d01-ce21-4127-86b7-aada79558dab,pop-punk,bd7e1d40-43b1-4ba5-97b3-05b891466962,punk rock
8d7e924b-6687-44dc-b475-d6c1e9b9f862,monodrama,56e0b906-1018-4a55-8ec7-86746272116e,opera
b31e95ee-94bb-4a8b-832d-238ce0cb8b6d,singspiel,56e0b906-1018-4a55-8ec7-86746272116e,opera
07041357-bba4-415f-8b9b-5423ae05f907,Afro house,a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,house music
b73c3b2a-45ba-44e6-a863-0fe6073181c3,third stream,a715278f-1580-409f-8078-4ffbc800e08b,jazz
f0e90b41-4499-493f-b6e3-05d3c3ea1b20,jazz standard,a715278f-1580-409f-8078-4ffbc800e08b,jazz
5fc86669-d9ba-4716-8090-eff39081090e,cool jazz,a715278f-1580-409f-8078-4ffbc800e08b,jazz
8d901306-d4a3-436c-a1c3-75550e5b6eaf,avant-garde jazz,a715278f-1580-409f-8078-4ffbc800e08b,jazz
a1f1dcc8-6078-4c12-90b7-47e3080e330c,smooth jazz,a715278f-1580-409f-8078-4ffbc800e08b,jazz
797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
221ff39c-4521-49e3-ab52-e4dde85efd1e,oi!,bd7e1d40-43b1-4ba5-97b3-05b891466962,punk rock
b7ef058e-6d83-4ca4-8123-9724bff4648b,art rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
6a325db6-8c10-44e1-b17a-b7c8dda50546,surf music,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
baaf713d-1e4e-459e-a058-60d89ce1f9df,rock opera,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
c4a69842-f891-4569-9506-1882aa5db433,electronic rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
c4a69842-f891-4569-9506-1882aa5db433,electronic rock,89255676-1f14-4dd8-bbad-fca839d6aff4,electronic music
657e44b5-2a8f-449a-aedc-6f529403e490,ricercar,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
04aa656f-25fe-412d-a76e-d90b263ec6ea,passion,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
875c7bef-8745-4e76-8333-218d23913052,bagatelle,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
baaf713d-1e4e-459e-a058-60d89ce1f9df,rock opera,ff6d73e8-bf1a-431e-9911-88ae7ffcfdfb,musical play
2aeb5340-c474-4677-b9a6-35ddac9b6a58,psychedelic pop,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
d39cbc30-7dc6-4194-8f99-6d35dd602451,deathcore,eacfa027-2fad-413f-a2f1-80fa43674f0b,death metal
c187da0e-48a0-4de5-b759-4ca2a1503008,synth-punk,c4a69842-f891-4569-9506-1882aa5db433,electronic rock
4910de6b-f795-4695-a758-5dcfb664e423,neo-medieval music,a91eed3a-fdd0-494e-ade0-95ea4117f6eb,folk music
ef8227d2-a286-47af-85c8-d5b6bec1f9db,sonata,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
28531139-91ab-42d5-841a-f029f94391de,toccata,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
ce70ed18-0f2d-47a9-bcee-45a1b3cc3225,cantata,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
95398f48-c101-41f0-b134-c14ba928ac17,fugue,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
6eb07b1a-25d9-46b4-aa93-4d1206866885,motet,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
cb6a6be1-1f9b-488b-9b10-5d44fa557245,madrigal,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
effc87e4-295b-40df-b64d-7413dfe67efa,Louisiana blues,fe12b346-a10e-450f-bf81-fa20894b5ea2,blues
d39cbc30-7dc6-4194-8f99-6d35dd602451,deathcore,62f88295-0605-4ce8-958b-2e0063ece47e,metalcore
267433bc-721d-4d60-8455-e6ed1e0b922f,acid trance,2afc2320-384f-43a4-a71e-1b763c485045,trance
5f9cba3d-1a9f-46cd-8c49-7ed78d1f3354,alternative country,5f665615-7fb3-49d8-b541-62a7b239edbe,country music
a4012b2e-5c27-4f81-8781-9ae5998d882c,shoegaze,ceeaa283-5d7b-4202-8d1d-e25d116b2a18,alternative rock
9f29e83b-d093-47d2-8d36-d836a247a640,melodic hardcore,055a6e4d-d929-42ac-ba7a-9d063b254ea5,hardcore punk
2aeb5340-c474-4677-b9a6-35ddac9b6a58,psychedelic pop,d698ece0-6fed-4262-b446-42c98b73b65a,psychedelic music
e1a239ca-aad0-4e22-bedd-2d23c8a48a26,jeongak,47791b14-968a-4f20-bd4d-3326b10d5b0f,Korean court music
0d15e596-3374-4590-bdb0-0a95d38ab4dc,ragga,02b2f720-d06e-42ce-85c2-1ecd4191ffcb,reggae
0464c047-e7df-4555-a4e0-86c8620b2671,acousmatic music,463066ef-ac54-4dae-9c83-73824c2c8432,electroacoustic music
54d89e62-5bfb-42bc-a321-9230e6fdcd75,glam rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
51cb9f91-e6a2-41bf-891f-e78e3f1e52ab,hard rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
281e2c3f-80ad-4bc4-8b30-54222dee3b9c,Zamrock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
8e5474b7-f445-49a7-866d-0f8e34b0a519,noise rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
b07b5eec-c7f0-4529-a876-e0dd6b350084,Latin rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
445dc48f-5233-4b4f-987f-867ff9ade836,folk rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
56407f9d-3398-4bf3-bbbd-ea372fa5adeb,new wave,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
58e325d5-54fd-4e98-b39a-3aa6bc319273,blues rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
d41531c8-99c2-4c3c-981d-4ee22ddb9a6f,Nortec,3976e9ba-16d0-461d-b732-99408a0374ba,electronic dance music
3308d0b0-3c7f-45e2-b835-5c2a0d433f02,hardcore,3976e9ba-16d0-461d-b732-99408a0374ba,electronic dance music
ccd19ebf-052c-4afe-8ad9-fbb0a73f94a7,indie rock,ceeaa283-5d7b-4202-8d1d-e25d116b2a18,alternative rock
f1c9b874-7ef2-4e79-9419-c0bcb5f33a30,Britpop,ceeaa283-5d7b-4202-8d1d-e25d116b2a18,alternative rock
7232e5df-8466-421f-ad5a-ce2048e5522d,chill-out music,89255676-1f14-4dd8-bbad-fca839d6aff4,electronic music
53a3cea3-17af-4421-a07a-5824b540aeb5,electronica,89255676-1f14-4dd8-bbad-fca839d6aff4,electronic music
b5220905-bd0a-41d5-b534-ed5401be80c2,neotraditional country,31c0b6ff-a356-4c73-91d7-203c80e6646b,contemporary country
2eacaaae-8824-49cf-b2c0-f86f5d48055d,American primitive guitar,c11e4253-a888-4a2a-adde-c274b748d0b3,contemporary folk music
6061fb1b-d733-4643-a3d4-940c9a5e2ab8,jazz rap,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
c187da0e-48a0-4de5-b759-4ca2a1503008,synth-punk,8cc9b280-230b-4a3a-b1e2-8acab0744dd3,punk music
b697f880-bdf4-4ac7-ae38-21cc95ef20fb,piphat,ed927354-2410-484e-823d-e2f10910226f,Thai classical music
f5b0242a-ede0-4929-9361-4eddeb0516b5,folk metal,cc28f5aa-5e19-487c-88e1-e56b022f1fdd,metal music
5c7785e6-a0b4-4441-a1e6-4fd4c0066a5f,progressive metal,cc28f5aa-5e19-487c-88e1-e56b022f1fdd,metal music
f729e6f8-30dc-4b81-9ff4-f4e7de82225d,symphonic rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
52856ec0-9f9b-45f4-ab09-1bb8cc0a98e4,heartland rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
c02cd2c5-9316-4046-a241-f74b773fee06,Christian rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
bbad9cda-bde2-448e-821c-7ebf85a54020,nu metal,7983ff25-ddf9-411e-a7f9-6cca238bff79,alternative metal
1f9c4b4a-c43d-40bd-b806-357153641fd0,tech house,a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,house music
b99d935b-cc28-404f-a306-50b7d468304f,hip house,a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,house music
1e6f2b7a-bab4-4194-bd42-d1836ce95650,tejano music,c5c255f9-a93d-4940-9c17-223ac887958e,regional Mexican
eb367415-e473-460d-b812-3dd20d39f8b0,samba reggae,32cb036c-1f11-47e9-869e-ede70c307cfe,axé
89e34d8e-6562-412f-8da3-d040e159e6cd,ska punk,18d6ad2c-83d2-402f-972c-dd75b4b2f34b,third wave ska
55fe39b6-1675-42cd-90ac-feeb7362a986,mariachi,c5c255f9-a93d-4940-9c17-223ac887958e,regional Mexican
5c7785e6-a0b4-4441-a1e6-4fd4c0066a5f,progressive metal,8d275a8d-154a-4bcb-8b5a-f56306ad4bcb,progressive music
d9858aef-25bf-478b-b135-b900aa1f0fd1,gothic rock,ceeaa283-5d7b-4202-8d1d-e25d116b2a18,alternative rock
d8048b43-9edb-4e1a-aa88-bb91fa847d4a,boom bap,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
432290bd-f667-4871-9fdc-127996f3ad93,Miami bass,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
b99d935b-cc28-404f-a306-50b7d468304f,hip house,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
a8ee2ad0-eadd-4082-9585-904def112c70,comedy hip-hop,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
58e325d5-54fd-4e98-b39a-3aa6bc319273,blues rock,fe12b346-a10e-450f-bf81-fa20894b5ea2,blues
6162d71d-6307-4021-8c50-a9524444f645,swing revival,063d0461-1e12-4246-87bf-69c5ca611cc2,swing
62f88295-0605-4ce8-958b-2e0063ece47e,metalcore,055a6e4d-d929-42ac-ba7a-9d063b254ea5,hardcore punk
093149ea-d1bc-4f93-bd5a-8fdcd055ea2f,grindcore,055a6e4d-d929-42ac-ba7a-9d063b254ea5,hardcore punk
f66d7266-eb3d-4ef3-b4d8-b7cd992f918b,crust punk,055a6e4d-d929-42ac-ba7a-9d063b254ea5,hardcore punk
54c01942-22fd-4184-9877-1db0089b18f1,acid house,a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,house music
797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
60e21d01-ce21-4127-86b7-aada79558dab,pop-punk,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
50e3ff0e-1abb-4577-9bf3-95d5c539ce2d,Europop,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
2b9b7ea8-cb90-428c-adb2-d55b2faa4f1d,Latin pop,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
e70f0aa3-9531-448c-8182-7ff34e3d74f8,soul jazz,a715278f-1580-409f-8078-4ffbc800e08b,jazz
9702d99a-823f-47ba-b8c2-af0538c9640b,jazz blues,a715278f-1580-409f-8078-4ffbc800e08b,jazz
e52cb48b-1d55-447f-82e2-9b9098591ded,samba rock,2447a0ec-e65f-48c7-b402-05cfe5c62cb7,samba
0bc15cf0-7c55-45ea-a6fb-930a33e2bbcf,Dunedin sound,ccd19ebf-052c-4afe-8ad9-fbb0a73f94a7,indie rock
35709b28-c4d0-4019-b6ca-2eca017344b5,twee pop,ccd19ebf-052c-4afe-8ad9-fbb0a73f94a7,indie rock
97b15117-c3e2-47ec-9d64-79f90b528a9c,lovers rock,02b2f720-d06e-42ce-85c2-1ecd4191ffcb,reggae
d13290c7-581a-4aa7-85ad-450b35261bf8,sophisti-pop,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
1696f12e-9f01-4309-be9d-116e31ac65b7,doo-wop,31be54b2-4d0c-42df-aa44-c496c7b4c3c3,rhythm and blues
694e1a00-cb09-4eb0-9064-402ef8a1059d,tecno brega,89255676-1f14-4dd8-bbad-fca839d6aff4,electronic music
da52c9d1-73f2-456e-a0d0-94bd854cb338,illbient,89255676-1f14-4dd8-bbad-fca839d6aff4,electronic music
34ec5538-a91a-454f-b500-18253bb45c20,witch house,89255676-1f14-4dd8-bbad-fca839d6aff4,electronic music
8e7216a9-c5c2-4d47-b70b-2ef148c727c6,Christian metal,a6719055-99c4-47eb-beaa-71081f2376f9,heavy metal music
9702d99a-823f-47ba-b8c2-af0538c9640b,jazz blues,fe12b346-a10e-450f-bf81-fa20894b5ea2,blues
59c7776f-fd87-4cfb-a7a5-9fe66ec02b1b,speed garage,a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,house music
65c97e89-b42b-45c2-a70e-0eca1b8f0ff7,experimental rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
6b3903aa-8abe-4645-b363-558483b1586f,instrumental rock,0e3fc579-2d24-4f20-9dae-736e1ec78798,rock music
4e6e388c-a9d2-45cb-80ad-bf64db4a0759,powerviolence,055a6e4d-d929-42ac-ba7a-9d063b254ea5,hardcore punk
7d0c6a6b-5d56-4b1e-a8c7-e32194f246b9,soft rock,797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock
35709b28-c4d0-4019-b6ca-2eca017344b5,twee pop,797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock
0d15e596-3374-4590-bdb0-0a95d38ab4dc,ragga,6c3503e3-bae3-42de-9e4c-7861f2053fbe,dancehall
2f2118d7-315b-4241-bf40-d5d6ca11348d,gabber,3308d0b0-3c7f-45e2-b835-5c2a0d433f02,hardcore
6df6e38b-2a6f-4990-94dc-ea48eba4f8ad,futurepop,f3818817-6235-48d5-82f7-b223eb0261d9,electronic body music
286f9168-9c46-4e41-94a1-1aa4aeb93b8c,neo soul,1b5e7b16-336b-473e-a364-5120413a9827,soul
feddf74e-576b-40d6-8896-a7f66f331e48,new wave of British heavy metal,a6719055-99c4-47eb-beaa-71081f2376f9,heavy metal music
532dcf83-5641-446d-b007-51292b401650,space rock,146ef761-5ad9-48b4-b0b3-483104f7da48,psychedelic rock
ef063b60-3206-466c-a7d8-7d317fcdf9fc,acid rock,146ef761-5ad9-48b4-b0b3-483104f7da48,psychedelic rock
4b7c8e31-462b-4e06-acfd-fa508ad26e0c,teen pop,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
ba64013e-27bb-4f14-a530-8d25b296e0da,acid techno,41fe3260-fcc1-450b-bd5a-803886c56912,techno
348a3ac2-4cad-4c93-8b3d-ec595ba60f80,ethereal wave,f6d8cadd-6a5e-4ec9-9c2b-996b5332a639,post-punk
0b9779ef-fc35-4d68-886e-b3ac27383e49,swamp blues,8164d906-055d-4ca8-9ab2-14204b301cc3,electric blues
5eeb0431-8160-40a7-ae44-c2ad01fed156,melodic death metal,eacfa027-2fad-413f-a2f1-80fa43674f0b,death metal
6b8e3c88-add3-4b27-b2ec-a2135edf6e95,timba,717f442d-59d1-4349-a14e-c4874acd3509,salsa
88b01b1f-9151-4a1b-a9f7-608accdeaf20,Detroit techno,41fe3260-fcc1-450b-bd5a-803886c56912,techno
22ce4afd-cb2d-4f7a-a1a7-3475dcbfa02f,género chico,0d82a4bc-f775-48ae-a5cc-73ff2aa5510f,zarzuela
6242615b-5620-465b-b6fb-2e593e90cbad,dream pop,ccd19ebf-052c-4afe-8ad9-fbb0a73f94a7,indie rock
d9858aef-25bf-478b-b135-b900aa1f0fd1,gothic rock,f6d8cadd-6a5e-4ec9-9c2b-996b5332a639,post-punk
fad5eb09-4d09-4e3b-9a4f-fde428a33af1,tropipop,2b9b7ea8-cb90-428c-adb2-d55b2faa4f1d,Latin pop
1b5e7b16-336b-473e-a364-5120413a9827,soul,31be54b2-4d0c-42df-aa44-c496c7b4c3c3,rhythm and blues
9405d427-8b33-4670-a41a-040e23cef8ce,vocal house,a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,house music
196a8a7b-c7c8-4e5f-9a02-bf0579da2ef5,ars antiqua,4fc769b7-acac-4061-9129-ee8c6875b4c3,medieval music
979ae351-612e-4c63-9263-5b70f799dfbe,hiplife,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
9c8ba153-740e-4b88-b7ff-31d004944c95,nerdcore,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
e9d8ba12-8ea7-4a74-92cb-90339765402b,Ciranda,e348168e-24f8-4d6a-87ed-b9389934a14a,coco
126b5875-8fe4-4e0f-b33a-580aacf40601,New Orleans blues,effc87e4-295b-40df-b64d-7413dfe67efa,Louisiana blues
0b9779ef-fc35-4d68-886e-b3ac27383e49,swamp blues,effc87e4-295b-40df-b64d-7413dfe67efa,Louisiana blues
aef2077e-6cbc-47ba-9698-9eb5f842a412,pornogrind,ca315be3-733b-4630-92d9-cd8ecafe0419,goregrind
f0e90b41-4499-493f-b6e3-05d3c3ea1b20,jazz standard,70c145aa-fed6-4b20-9d75-48b2c3b208f2,traditional pop
3188a961-88e0-4b12-9b9e-47f79e53d780,no wave,f6d8cadd-6a5e-4ec9-9c2b-996b5332a639,post-punk
818134e3-9392-4624-a13c-c4b19c54bccd,glam metal,51cb9f91-e6a2-41bf-891f-e78e3f1e52ab,hard rock
0be95ed4-29dc-4afb-b889-7af59cc721f7,verbunkos,ee022b9f-8e02-4e90-b855-41d60cb1bcc3,Hungarian folk music
e519a23f-ab61-47be-a931-f52a4a6b0f6b,Peking opera,f369323a-f515-4aea-a3cf-2963f0a39c5e,Chinese opera
bc79ed3b-dca7-41e0-9bee-8d3188fddfeb,revolutionary opera,e519a23f-ab61-47be-a931-f52a4a6b0f6b,Peking opera
c0e73bb6-37a4-485e-aaea-11c63b40c9f3,conscious hip-hop,52faa157-6bad-4d86-a0ab-d4dec7d2513c,hip-hop
bdc421e1-0164-4c14-9927-4217bfb25667,aak,47791b14-968a-4f20-bd4d-3326b10d5b0f,Korean court music
fee8ccf9-8def-4855-9e6a-7d03da945f32,psybient,7232e5df-8466-421f-ad5a-ce2048e5522d,chill-out music
8e7216a9-c5c2-4d47-b70b-2ef148c727c6,Christian metal,c02cd2c5-9316-4046-a241-f74b773fee06,Christian rock
060beed7-e597-4c42-8e25-5bf8bd5dd3cb,industrial music,68c81274-5770-4e7b-a4bf-ab0d7d425d99,experimental music
6a1ba2f9-1e5b-446f-9ffa-c0b0963aa08f,free improvisation,68c81274-5770-4e7b-a4bf-ab0d7d425d99,experimental music
9d966bd4-89d5-4d6a-a408-eeb8c300c426,coupé-décalé,3976e9ba-16d0-461d-b732-99408a0374ba,electronic dance music
9b1af4d0-2196-43d4-bbca-845a2e02d962,electro swing,3976e9ba-16d0-461d-b732-99408a0374ba,electronic dance music
391a797d-50d7-46df-b380-39ccacd52a09,New Romantic,56407f9d-3398-4bf3-bbbd-ea372fa5adeb,new wave
998ba72a-443a-47c7-9490-3996387906ff,grand opera,bdebe8fd-c5b6-4b89-bb2a-ece612f1caa7,Romantic music
9d966bd4-89d5-4d6a-a408-eeb8c300c426,coupé-décalé,ac46ed29-ceb7-43fc-9d6d-9f3aa6638068,zouglou
decc967b-5b70-453b-9107-0b4e7a00505f,beat music,797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock
9c2f8b08-9bac-4bfd-b9ed-6381c65791e9,Canterbury scene,ae9b8279-3959-48d8-8a88-741a7f6d4a48,progressive rock
a9364233-6158-4fab-bbc2-35579a74378e,Bakersfield sound,5f665615-7fb3-49d8-b541-62a7b239edbe,country music
cd99451c-f6d5-47c7-8d49-6c08b51e61aa,neo-psychedelia,146ef761-5ad9-48b4-b0b3-483104f7da48,psychedelic rock
01ecf8e4-7f7a-4145-ae97-504d3109633d,dark ambient,608b0471-7531-4854-a348-e698c69cb699,ambient music
bd477a3e-9235-4597-9ce5-3caa994baef7,happy hardcore,3308d0b0-3c7f-45e2-b835-5c2a0d433f02,hardcore
4bcbf8f0-e8bc-403c-93d4-cf2b4385cecd,acidcore,3308d0b0-3c7f-45e2-b835-5c2a0d433f02,hardcore
c8acb78a-8337-4eae-9d19-48220dba03ac,hard trance,2afc2320-384f-43a4-a71e-1b763c485045,trance
9c5052e0-36ff-4b92-9447-58f44ffdf682,hard house,a2782cb6-1cd0-477c-a61d-b3f8b42dd1b3,house music
e6d6a58f-6c00-484e-9bc7-12e2c4d024e2,yé-yé,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
18e297f0-8fd3-46ac-9953-1a9a91b69596,space age pop,911c7bbb-172d-4df8-9478-dbff4296e791,pop music
cc38aba3-48ed-439a-83b9-f81a34a66598,downtempo,7232e5df-8466-421f-ad5a-ce2048e5522d,chill-out music
9e7ae1de-d5f2-46a5-b105-11c7367dc70d,indietronica,53a3cea3-17af-4421-a07a-5824b540aeb5,electronica
e38d2694-912f-4ad6-a0be-93e01577f6d3,nova cançó,455f264b-db00-4716-991d-fbd32dc24523,singer-songwriter music
95eda19f-fb80-49af-a7e4-4e7c156768e2,field recording,018b7630-8941-4966-90e4-3774daea4e04,non-music
47d61cdb-55c0-4220-b420-8903afe0a1a1,Thumri,92ccf7a7-c886-4e06-9aff-e432593653df,Hindustani classical music
dbfada72-0ef2-4af9-bc0d-04065e0c5f3d,tappa,92ccf7a7-c886-4e06-9aff-e432593653df,Hindustani classical music
348a3ac2-4cad-4c93-8b3d-ec595ba60f80,ethereal wave,c4a72fcd-e291-43c8-a546-9ce1764ff31b,dark wave
7f0d2b34-d0ea-4ab5-a169-934f131bc40c,son montuno,db48f46a-6467-49b0-a6b2-beb059584d9d,son cubano
cf64f76d-35a1-4d15-93a2-9ead67f67da7,crime jazz,a715278f-1580-409f-8078-4ffbc800e08b,jazz
984e6cb2-823e-4709-a23b-233f7f2ee3aa,country folk,5f665615-7fb3-49d8-b541-62a7b239edbe,country music
60e19df0-99e8-4863-be31-7ec7e5c98c7a,Western swing,5f665615-7fb3-49d8-b541-62a7b239edbe,country music
2684d72e-76ea-406d-ad64-fa292209b5ac,Nashville sound,5f665615-7fb3-49d8-b541-62a7b239edbe,country music
2a4cae89-5a5a-44b7-9cf8-bf92c38a31dc,symphonic metal,cc28f5aa-5e19-487c-88e1-e56b022f1fdd,metal music
432290bd-f667-4871-9fdc-127996f3ad93,Miami bass,bab69b07-8bb9-4415-b666-c37609cef80b,club/dance music
432290bd-f667-4871-9fdc-127996f3ad93,Miami bass,e5bba957-8c91-496a-a675-c6d0c6b51c33,club/dance music
b5313d5a-f910-4fa8-a31c-0152897ed840,stride piano,d017dd87-704b-4ad4-8b67-39fb401b8339,ragtime
f1c9b874-7ef2-4e79-9419-c0bcb5f33a30,Britpop,797e2e85-5ffd-495c-a757-8b4079052f0e,pop rock
82e38e98-8a93-4ea9-a07f-ff0aeba07444,swamp rock,883d75d5-1365-46ee-8cbe-d3ae2facdd93,roots rock
ca20f188-68d2-4af5-966e-8e2e0f848758,ranchera,c5c255f9-a93d-4940-9c17-223ac887958e,regional Mexican
8d901306-d4a3-436c-a1c3-75550e5b6eaf,avant-garde jazz,b1c0c2ad-e5ae-4bb6-a1be-d66e195fd2d7,avant-garde music
a9364233-6158-4fab-bbc2-35579a74378e,Bakersfield sound,59b8a806-8bdd-45b5-978a-b5e404c910aa,honky tonk
